     x              y              y-prima
   2.19000006      -1.24816823      -1.56653333    
   2.19499993      -1.25595975      -1.55009305    
   2.20000005      -1.26366913      -1.53366172    
   2.20499992      -1.27129638      -1.51724029    
   2.21000004      -1.27884150      -1.50082970    
   2.21499991      -1.28630459      -1.48443079    
   2.22000003      -1.29368579      -1.46804452    
   2.22499990      -1.30098510      -1.45167160    
   2.23000002      -1.30820251      -1.43531299    
   2.23499990      -1.31533825      -1.41896951    
   2.24000001      -1.32239223      -1.40264189    
   2.24499989      -1.32936466      -1.38633096    
   2.25000000      -1.33625555      -1.37003756    
   2.25499988      -1.34306502      -1.35376227    
   2.25999999      -1.34979320      -1.33750594    
   2.26499987      -1.35644007      -1.32126915    
   2.26999998      -1.36300588      -1.30505264    
   2.27499986      -1.36949062      -1.28885710    
   2.27999997      -1.37589443      -1.27268314    
   2.28500009      -1.38221741      -1.25653148    
   2.28999996      -1.38845968      -1.24040258    
   2.29500008      -1.39462137      -1.22429705    
   2.29999995      -1.40070260      -1.20821548    
   2.30500007      -1.40670347      -1.19215846    
   2.30999994      -1.41262412      -1.17612648    
   2.31500006      -1.41846478      -1.16012013    
   2.31999993      -1.42422545      -1.14413989    
   2.32500005      -1.42990625      -1.12818611    
   2.32999992      -1.43550730      -1.11225939    
   2.33500004      -1.44102883      -1.09636009    
   2.33999991      -1.44647098      -1.08048868    
   2.34500003      -1.45183384      -1.06464565    
   2.34999990      -1.45711756      -1.04883122    
   2.35500002      -1.46232224      -1.03304589    
   2.35999990      -1.46744812      -1.01729000    
   2.36500001      -1.47249520      -1.00156391    
   2.36999989      -1.47746372     -0.985867918    
   2.37500000      -1.48235393     -0.970202386    
   2.37999988      -1.48716581     -0.954567552    
   2.38499999      -1.49189961     -0.938963771    
   2.38999987      -1.49655545     -0.923391283    
   2.39499998      -1.50113356     -0.907850325    
   2.39999986      -1.50563407     -0.892341137    
   2.40499997      -1.51005709     -0.876863956    
   2.41000009      -1.51440275     -0.861419022    
   2.41499996      -1.51867127     -0.846006513    
   2.42000008      -1.52286279     -0.830626607    
   2.42499995      -1.52697754     -0.815279484    
   2.43000007      -1.53101563     -0.799965322    
   2.43499994      -1.53497720     -0.784684241    
   2.44000006      -1.53886247     -0.769436419    
   2.44499993      -1.54267156     -0.754221916    
   2.45000005      -1.54640472     -0.739040852    
   2.45499992      -1.55006206     -0.723893344    
   2.46000004      -1.55364370     -0.708779454    
   2.46499991      -1.55714989     -0.693699300    
   2.47000003      -1.56058073     -0.678652883    
   2.47499990      -1.56393647     -0.663640261    
   2.48000002      -1.56721723     -0.648661494    
   2.48499990      -1.57042313     -0.633716643    
   2.49000001      -1.57355440     -0.618805647    
   2.49499989      -1.57661116     -0.603928566    
   2.50000000      -1.57959366     -0.589085340    
   2.50499988      -1.58250201     -0.574275970    
   2.50999999      -1.58533645     -0.559500456    
   2.51499987      -1.58809710     -0.544758737    
   2.51999998      -1.59078407     -0.530050755    
   2.52499986      -1.59339762     -0.515376449    
   2.52999997      -1.59593785     -0.500735760    
   2.53499985      -1.59840500     -0.486128628    
   2.53999996      -1.60079920     -0.471554965    
   2.54500008      -1.60312057     -0.457014650    
