  z                 v                vq               dif
   5.44223499      0.913909554      0.918740213      0.525791526    
   5.47158813      0.909057558      0.913811445      0.520226300    
   5.50094128      0.904256761      0.908935368      0.514734864    
   5.53029394      0.899505854      0.904111087      0.509365916    
   5.55964708      0.894803822      0.899337649      0.504129589    
   5.58899975      0.890151262      0.894614458      0.498896003    
   5.61835289      0.885546565      0.889940560      0.493740261    
   5.64770555      0.880988657      0.885315299      0.488711953    
   5.67705870      0.876477122      0.880737782      0.483760238    
   5.70641184      0.872011900      0.876207352      0.478819519    
   5.73576450      0.867591202      0.871723354      0.474020988    
   5.76511765      0.863215268      0.867285013      0.469251215    
   5.79447031      0.858882606      0.862891614      0.464601606    
   5.82382345      0.854593635      0.858542502      0.459950119    
   5.85317659      0.850346446      0.854237020      0.455444306    
   5.88252926      0.846141696      0.849974513      0.450933188    
   5.91188240      0.841977179      0.845754325      0.446600884    
   5.94123507      0.837854624      0.841575861      0.442174882    
   5.97058821      0.833770990      0.837438405      0.437932402    
   5.99994087      0.829727113      0.833341539      0.433726817    
   6.02929401      0.825722396      0.829284489      0.429538101    
   6.05864716      0.821755826      0.825266719      0.425425172    
   6.08799982      0.817826986      0.821287811      0.421389967    
   6.11735296      0.813935518      0.817346990      0.417383552    
   6.14670563      0.810080409      0.813443840      0.413480371    
   6.17605877      0.806261778      0.809577763      0.409594417    
   6.20541143      0.802478731      0.805748343      0.405785859    
   6.23476458      0.798730910      0.801954925      0.402019501    
   6.26411772      0.795017958      0.798197031      0.398281783    
   6.29347038      0.791339397      0.794474244      0.394581288    
   6.32282352      0.787693679      0.790785968      0.391039938    
   6.35217619      0.784082294      0.787131846      0.387425870    
   6.38152933      0.780502498      0.783511221      0.384005129    
   6.41088200      0.776956439      0.779923916      0.380482852    
   6.44023514      0.773441970      0.776369154      0.377035081    
   6.46958828      0.769959092      0.772846699      0.373632520    
   6.49894094      0.766507030      0.769356132      0.370322913    
   6.52829409      0.763085604      0.765896857      0.367053747    
   6.55764675      0.759694695      0.762468636      0.363810450    
   6.58699989      0.756333649      0.759070933      0.360609740    
   6.61635303      0.753001750      0.755703330      0.357492208    
   6.64570570      0.749699593      0.752365530      0.354340643    
   6.67505884      0.746425927      0.749057055      0.351258665    
   6.70441151      0.743180275      0.745777607      0.348271668    
   6.73376465      0.739962995      0.742526710      0.345269054    
   6.76311731      0.736773729      0.739304066      0.342259228    
   6.79247046      0.733610988      0.736109197      0.339380294    
   6.82182360      0.730475247      0.732941866      0.336536795    
   6.85117626      0.727366865      0.729801714      0.333631694    
   6.88052940      0.724284232      0.726688266      0.330820560    
   6.90988207      0.721227407      0.723601341      0.328072041    
   6.93923521      0.718196273      0.720540524      0.325346112    
   6.96858788      0.715190649      0.717505455      0.322618604    
   6.99794102      0.712209940      0.714495897      0.319939882    
   7.02729416      0.709253490      0.711511433      0.317344606    
   7.05664682      0.706321716      0.708551824      0.314741671    
   7.08599997      0.703414321      0.705616713      0.312122941    
   7.11535263      0.700530350      0.702705860      0.309590399    
   7.14470577      0.697670043      0.699818909      0.307060391    
   7.17405891      0.694832206      0.696955502      0.304653049    
   7.20341158      0.692018509      0.694115579      0.302121192    
   7.23276472      0.689226568      0.691298604      0.299731016    
   7.26211739      0.686457336      0.688504457      0.297328711    
   7.29147053      0.683710277      0.685732722      0.294932008    
   7.32082319      0.680984199      0.682983279      0.292698264    
   7.35017633      0.678280830      0.680255771      0.290323198    
   7.37952948      0.675598204      0.677549958      0.288060546    
   7.40888214      0.672936976      0.674865663      0.285788298    
   7.43823528      0.670296431      0.672202468      0.283551067    
   7.46758795      0.667676330      0.669560254      0.281367362    
   7.49694109      0.665077031      0.666938663      0.279130906    
   7.52629375      0.662497282      0.664337635      0.277020723    
   7.55564690      0.659937441      0.661756694      0.274912655    
   7.58500004      0.657397628      0.659195781      0.272779793    
   7.61435270      0.654877365      0.656654656      0.270658433    
   7.64370584      0.652375221      0.654132962      0.268713117    
   7.67305851      0.649893105      0.651630640      0.266644150    
   7.70241165      0.647429466      0.649147332      0.264634132    
   7.73176479      0.644984603      0.646682918      0.262619466    
   7.76111746      0.642557740      0.644237101      0.260674357    
   7.79047060      0.640149117      0.641809762      0.258744121    
   7.81982327      0.637758613      0.639400661      0.256810546    
   7.84917641      0.635385573      0.637009501      0.254930049    
   7.87852907      0.633029997      0.634636223      0.253093958    
   7.90788221      0.630692363      0.632280529      0.251180559    
   7.93723536      0.628371596      0.629942238      0.249331117    
   7.96658802      0.626067519      0.627621233      0.247556046    
   7.99594116      0.623780608      0.625317276      0.245742023    
   8.02529430      0.621510208      0.623030126      0.243955851    
   8.05464649      0.619256079      0.620759726      0.242226794    
   8.08399963      0.617018461      0.618505716      0.240459397    
   8.11335278      0.614796460      0.616268039      0.238788798    
   8.14270592      0.612590730      0.614046514      0.237080380    
   8.17205906      0.610400736      0.611840904      0.235382661    
   8.20141125      0.608226418      0.609651148      0.233695909    
   8.23076439      0.606067181      0.607477009      0.232079342    
   8.26011753      0.603923559      0.605318248      0.230405927    
   8.28947067      0.601794839      0.603174806      0.228783876    
   8.31882381      0.599680841      0.601046503      0.227213964    
   8.34817600      0.597581506      0.598933220      0.225686952    
   8.37752914      0.595497131      0.596834660      0.224103644    
   8.40688229      0.593427181      0.594750822      0.222553760    
   8.43623543      0.591371298      0.592681408      0.221047953    
   8.46558762      0.589330018      0.590626478      0.219506010    
   8.49494076      0.587302327      0.588585615      0.218029112    
   8.52429390      0.585288763      0.586558819      0.216526583    
   8.55364704      0.583288848      0.584545970      0.215059489    
   8.58300018      0.581302702      0.582546890      0.213577196    
   8.61235237      0.579329669      0.580561459      0.212172121    
   8.64170551      0.577370226      0.578589499      0.210731894    
   8.67105865      0.575424016      0.576630831      0.209287331    
   8.70041180      0.573490679      0.574685454      0.207900703    
   8.72976494      0.571570098      0.572753131      0.206551984    
   8.75911713      0.569662511      0.570833802      0.205189466    
   8.78847027      0.567767680      0.568927228      0.203813195    
   8.81782341      0.565885425      0.567033350      0.202444151    
   8.84717655      0.564015508      0.565152049      0.201103643    
   8.87652969      0.562157631      0.563283205      0.199823841    
   8.90588188      0.560312152      0.561426699      0.198520526    
   8.93523502      0.558478594      0.559582353      0.197246894    
   8.96458817      0.556657016      0.557750106      0.195981964    
   8.99394131      0.554847538      0.555929780      0.194672346    
   9.02329350      0.553049445      0.554121375      0.193446770    
   9.05264664      0.551262975      0.552324653      0.192219913    
   9.08199978      0.549488306      0.550539553      0.190948516    
   9.11135292      0.547724485      0.548765898      0.189773515    
   9.14070606      0.545972288      0.547003686      0.188554257    
   9.17005825      0.544230819      0.545252800      0.187432557    
   9.19941139      0.542500854      0.543513060      0.186233997    
   9.22876453      0.540781736      0.541784346      0.185056970    
   9.25811768      0.539073646      0.540066600      0.183857650    
   9.28747082      0.537376046      0.538359702      0.182713419    
   9.31682301      0.535688937      0.536663651      0.181624889    
   9.34617615      0.534012616      0.534978151      0.180481330    
   9.37552929      0.532346547      0.533303201      0.179382861    
   9.40488243      0.530691266      0.531638741      0.178217903    
   9.43423557      0.529045761      0.529984653      0.177154630    
   9.46358776      0.527410626      0.528340876      0.176069990    
   9.49294090      0.525785565      0.526707172      0.174975216    
   9.52229404      0.524170339      0.525083542      0.173915714    
   9.55164719      0.522564828      0.523469925      0.172903255    
   9.58099937      0.520969510      0.521866202      0.171824172    
   9.61035252      0.519383729      0.520272255      0.170781061    
   9.63970566      0.517807543      0.518688023      0.169751331    
   9.66905880      0.516240835      0.517113388      0.168735221    
   9.69841194      0.514683485      0.515548348      0.167756021    
   9.72776413      0.513135850      0.513992727      0.166709825    
   9.75711727      0.511596978      0.512446463      0.165770561    
   9.78647041      0.510067582      0.510909438      0.164775968    
   9.81582355      0.508547485      0.509381592      0.163749024    
   9.84517670      0.507036209      0.507862926      0.162783384    
   9.87452888      0.505533755      0.506353259      0.161844373    
   9.90388203      0.504040122      0.504852533      0.160920516    
   9.93323517      0.502555430      0.503360689      0.159976482    
   9.96258831      0.501079559      0.501877606      0.159012198    
   9.99194145      0.499612033      0.500403225      0.158110902    
   10.0212936      0.498153120      0.498937577      0.157225430    
   10.0506468      0.496702731      0.497480422      0.156326070    
   10.0799999      0.495261073      0.496031761      0.155370712    
   10.1093531      0.493827373      0.494591504      0.154497504    
   10.1387053      0.492401987      0.493159622      0.153628677    
   10.1680584      0.490984619      0.491735965      0.152794674    
   10.1974115      0.489575982      0.490320504      0.151843861    
   10.2267647      0.488174647      0.488913178      0.151055723    
   10.2561178      0.486781716      0.487513900      0.150187194    
   10.2854700      0.485396832      0.486122668      0.149311200    
   10.3148232      0.484019607      0.484739274      0.148464650    
   10.3441763      0.482650191      0.483363777      0.147629350    
   10.3735294      0.481288284      0.481996030      0.146836385    
   10.4028826      0.479934126      0.480636001      0.146030366    
   10.4322348      0.478587806      0.479283690      0.145192549    
   10.4615879      0.477248639      0.477938920      0.144428790    
   10.4909410      0.475917190      0.476601660      0.143614680    
   10.5202942      0.474593282      0.475271881      0.142781198    
   10.5496473      0.473275989      0.473949492      0.142104313    
   10.5789995      0.471966982      0.472634494      0.141232267    
   10.6083527      0.470664173      0.471326709      0.140568197    
   10.6377058      0.469369739      0.470026165      0.139657319    
   10.6670589      0.468081623      0.468732774      0.138917312    
   10.6964111      0.466800511      0.467446506      0.138196588    
   10.7257643      0.465526402      0.466167241      0.137469828    
   10.7551174      0.464259326      0.464894980      0.136730611    
   10.7844706      0.462999225      0.463629633      0.135972440    
   10.8138237      0.461745888      0.462371141      0.135227457    
   10.8431759      0.460499495      0.461119503      0.134457007    
   10.8725290      0.459259063      0.459874600      0.133848920    
   10.9018822      0.458025932      0.458636403      0.133105606    
   10.9312353      0.456799209      0.457404852      0.132408470    
   10.9605885      0.455579102      0.456179887      0.131699145    
   10.9899406      0.454365522      0.454961509      0.130997196    
   11.0192938      0.453158319      0.453749597      0.130309328    
   11.0486469      0.451957524      0.452544093      0.129615948    
   11.0780001      0.450763106      0.451344997      0.128923625    
   11.1073532      0.449574858      0.450152248      0.128265530    
   11.1367054      0.448392838      0.448965818      0.127622068    
   11.1660585      0.447217345      0.447785586      0.126900211    
   11.1954117      0.446047485      0.446611524      0.126292929    
   11.2247648      0.444883943      0.445443630      0.125647232    
   11.2541170      0.443726629      0.444281846      0.124969602    
   11.2834702      0.442575037      0.443126082      0.124353983    
