 x   y1   y2   y3 
   109.200005      0.755620897       7.71980121E-05  0.990122616    
   109.800003      0.663917899       7.56351801E-05   1.15451741    
   110.400002      0.571866035       7.36089569E-05   1.30219936    
   111.000008      0.484484017       7.11699759E-05   1.42189789    
   111.600006      0.405536622       6.83963735E-05   1.50667083    
   112.200005      0.337087065       6.53796305E-05   1.55464029    
   112.800003      0.279618353       6.22110019E-05   1.56819570    
   113.400002      0.232488155       5.89719675E-05   1.55241299    
   114.000008      0.194442183       5.57294734E-05   1.51347172    
   114.600006      0.164019674       5.25349969E-05   1.45749879    
   115.200005      0.139805838       4.94259111E-05   1.38991606    
   115.800003      0.120555632       4.64278382E-05   1.31518292    
   116.400002      0.105233237       4.35571710E-05   1.23678243    
   117.000008       9.30058658E-02   4.08233354E-05   1.15732801    
   117.600006       8.32176432E-02   3.82306571E-05   1.07871354    
   118.200005       7.53580779E-02   3.57798053E-05   1.00226390    
   118.800003       6.90321848E-02   3.34689030E-05  0.928867221    
   119.400002       6.39349446E-02   3.12943266E-05  0.859084129    
   120.000008       5.98306544E-02   2.92513032E-05  0.793233693    
   120.600006       5.65367304E-02   2.73343412E-05  0.731459618    
   121.200005       5.39112762E-02   2.55375380E-05  0.673780501    
   121.800003       5.18435761E-02   2.38547964E-05  0.620127439    
   122.400002       5.02469242E-02   2.22799808E-05  0.570371747    
   123.000008       4.90531661E-02   2.08070305E-05  0.524345696    
   123.600006       4.82085757E-02   1.94300246E-05  0.481857568    
   124.200005       4.76707183E-02   1.81432424E-05  0.442702591    
   124.800003       4.74060662E-02   1.69411887E-05  0.406670898    
   125.400002       4.73881550E-02   1.58186158E-05  0.373553097    
   126.000008       4.75961864E-02   1.47705314E-05  0.343144238    
   126.600006       4.80139218E-02   1.37922043E-05  0.315246433    
   127.200005       4.86288518E-02   1.28791598E-05  0.289670676    
   127.800003       4.94315140E-02   1.20271789E-05  0.266237855    
   128.400009       5.04149832E-02   1.12322869E-05  0.244779348    
   129.000000       5.15744574E-02   1.04907467E-05  0.225137219    
   129.600006       5.29069230E-02   9.79904780E-06  0.207164168    
   130.200012       5.44109046E-02   9.15389865E-06  0.190723300    
   130.800003       5.60862459E-02   8.55221151E-06  0.175687715    
   131.400009       5.79339489E-02   7.99109512E-06  0.161940098    
   132.000000       5.99560328E-02   7.46784281E-06  0.149372235    
   132.600006       6.21554218E-02   6.97992209E-06  0.137884468    
   133.200012       6.45358562E-02   6.52496465E-06  0.127385139    
   133.800003       6.71018139E-02   6.10075676E-06  0.117790103    
   134.400009       6.98584542E-02   5.70523025E-06  0.109022178    
   135.000000       7.28115514E-02   5.33645243E-06  0.101010650    
   135.600006       7.59674534E-02   4.99261841E-06   9.36908051E-02
   136.200012       7.93330520E-02   4.67204381E-06   8.70034471E-02
   136.800003       8.29157382E-02   4.37315612E-06   8.08945075E-02
   137.400009       8.67233574E-02   4.09448739E-06   7.53146112E-02
   138.000000       9.07641873E-02   3.83466795E-06   7.02187121E-02
   138.600006       9.50469151E-02   3.59242085E-06   6.55657500E-02
   139.200012       9.95805860E-02   3.36655421E-06   6.13183267E-02
   139.800003      0.104374580       3.15595685E-06   5.74424043E-02
   140.400009      0.109438583       2.95959217E-06   5.39070293E-02
   141.000000      0.114782527       2.77649406E-06   5.06840944E-02
   141.600006      0.120416567       2.60576144E-06   4.77480926E-02
   142.200012      0.126351029       2.44655462E-06   4.50759195E-02
   142.800003      0.132596359       2.29809075E-06   4.26466726E-02
   143.400009      0.139163077       2.15963996E-06   4.04414870E-02
   144.000000      0.146061689       2.03052241E-06   3.84433791E-02
   144.600006      0.153302655       1.91010440E-06   3.66371088E-02
   145.200012      0.160896271       1.79779545E-06   3.50090526E-02
   145.800003      0.168852627       1.69304531E-06   3.35470997E-02
   146.400009      0.177181497       1.59534125E-06   3.22405584E-02
   147.000000      0.185892224       1.50420556E-06   3.10800746E-02
   147.600006      0.194993630       1.41919338E-06   3.00575700E-02
   148.200012      0.204493910       1.33989010E-06   2.91661918E-02
   148.800003      0.214400470       1.26590965E-06   2.84002777E-02
   149.400009      0.224719808       1.19689241E-06   2.77553368E-02
   150.000000      0.235457361       1.13250326E-06   2.72280425E-02
   150.600006      0.246617317       1.07243011E-06   2.68162526E-02
   151.200012      0.258202463       1.01638238E-06   2.65190396E-02
   151.800003      0.270214021       9.64089281E-07   2.63367463E-02
   152.400009      0.282651365       9.15298585E-07   2.62710676E-02
   153.000000      0.295511901       8.69775477E-07   2.63251569E-02
   153.600006      0.308790743       8.27301164E-07   2.65037715E-02
   154.200012      0.322480470       7.87671809E-07   2.68134512E-02
   154.800003      0.336570919       7.50697438E-07   2.72627454E-02
   155.400009      0.351048797       7.16201100E-07   2.78624892E-02
   156.000000      0.365897387       6.84017834E-07   2.86261551E-02
   156.600006      0.381096184       6.53993766E-07   2.95702722E-02
   157.200012      0.396620423       6.25985422E-07   3.07149403E-02
   157.800003      0.412440687       5.99858822E-07   3.20844613E-02
   158.400009      0.428522348       5.75488855E-07   3.37080918E-02
   159.000000      0.444824904       5.52758479E-07   3.56209688E-02
   159.600006      0.461301416       5.31558157E-07   3.78652103E-02
   160.200012      0.477897525       5.11785174E-07   4.04912494E-02
   160.800003      0.494550645       4.93343009E-07   4.35594134E-02
   161.400009      0.511188745       4.76140684E-07   4.71418202E-02
   162.000000      0.527729154       4.60092224E-07   5.13245910E-02
   162.600006      0.544076920       4.45116029E-07   5.62104322E-02
   163.200012      0.560123146       4.31134310E-07   6.19216040E-02
   163.800003      0.575743020       4.18072403E-07   6.86032400E-02
   164.400009      0.590793610       4.05858202E-07   7.64269680E-02
   165.000000      0.605111301       3.94421505E-07   8.55946690E-02
   165.600006      0.618509591       3.83693390E-07   9.63420793E-02
