 x   y1   y2   y3   y4
  0.289999992      0.997211874      -5.58402687E-02 -0.411902666      -2.82863092    
  0.299999982      0.996606410      -6.54428825E-02 -0.440659553      -2.92262292    
  0.310000002      0.995899141      -7.62063935E-02 -0.470352381      -3.01579952    
  0.319999993      0.995078146      -8.82019252E-02 -0.500972450      -3.10804510    
  0.329999983      0.994130790     -0.101497054     -0.532509804      -3.19923520    
  0.340000004      0.993043661     -0.116154954     -0.564953208      -3.28923726    
  0.349999994      0.991802931     -0.132233560     -0.598290145      -3.37791133    
  0.359999985      0.990394115     -0.149784878     -0.632506549      -3.46511030    
  0.370000005      0.988802195     -0.168854326     -0.667586923      -3.55068088    
  0.379999995      0.987011850     -0.189480186     -0.703514218      -3.63446426    
  0.389999986      0.985007346     -0.211693183     -0.740269721      -3.71629786    
  0.399999976      0.982772648     -0.235516146     -0.777833104      -3.79601526    
  0.409999996      0.980291605     -0.260963768     -0.816182375      -3.87344790    
  0.419999987      0.977547944     -0.288042545     -0.855293870      -3.94842601    
  0.429999977      0.974525332     -0.316750765     -0.895142138      -4.02077913    
  0.439999998      0.971207500     -0.347078562     -0.935700119      -4.09033823    
  0.449999988      0.967578411     -0.379008174     -0.976939023      -4.15693521    
  0.459999979      0.963622093     -0.412514091      -1.01882839      -4.22040510    
  0.469999999      0.959322989     -0.447563499      -1.06133616      -4.28058624    
  0.479999989      0.954665840     -0.484116584      -1.10442865      -4.33732080    
  0.489999980      0.949635804     -0.522126973      -1.14807057      -4.39045668    
  0.500000000      0.944218636     -0.561542094      -1.19222522      -4.43984652    
  0.509999990      0.938400507     -0.602303743      -1.23685443      -4.48534966    
  0.519999981      0.932168305     -0.644348443      -1.28191876      -4.52683163    
  0.529999971      0.925509512     -0.687608123      -1.32737720      -4.56416559    
  0.539999962      0.918412328     -0.732010305      -1.37318778      -4.59723186    
  0.550000012      0.910865724     -0.777478814      -1.41930723      -4.62591839    
  0.560000002      0.902859449     -0.823933959      -1.46569121      -4.65012121    
  0.569999993      0.894384027     -0.871293247      -1.51229441      -4.66974497    
  0.579999983      0.885430872     -0.919471622      -1.55907059      -4.68470240    
  0.589999974      0.875992179     -0.968381822      -1.60597265      -4.69491434    
  0.599999964      0.866061091      -1.01793480      -1.65295279      -4.70031118    
  0.610000014      0.855631649      -1.06804025      -1.69996262      -4.70083094    
  0.620000005      0.844698787      -1.11860645      -1.74695301      -4.69642067    
  0.629999995      0.833258331      -1.16954100      -1.79387450      -4.68703604    
  0.639999986      0.821307063      -1.22075105      -1.84067702      -4.67264175    
  0.649999976      0.808842719      -1.27214336      -1.88731050      -4.65321064    
  0.659999967      0.795863926      -1.32362473      -1.93372440      -4.62872458    
  0.669999957      0.782370269      -1.37510204      -1.97986805      -4.59917307    
  0.680000007      0.768362224      -1.42648268      -2.02569079      -4.56455469    
  0.689999998      0.753841221      -1.47767460      -2.07114220      -4.52487612    
  0.699999988      0.738809645      -1.52858663      -2.11617160      -4.48015213    
  0.709999979      0.723270714      -1.57912827      -2.16072845      -4.43040562    
