 x   y1   y2   y3   y4
  0.409999996      0.980292201     -0.260955572     -0.816182494      -3.87345195    
  0.419999987      0.977548599     -0.288033545     -0.855294049      -3.94843078    
  0.429999977      0.974526107     -0.316740900     -0.895142376      -4.02078485    
  0.439999998      0.971208394     -0.347067803     -0.935700417      -4.09034491    
  0.449999988      0.967579424     -0.378996462     -0.976939380      -4.15694284    
  0.459999979      0.963623226     -0.412501395      -1.01882887      -4.22041368    
  0.469999999      0.959324241     -0.447549790      -1.06133676      -4.28059578    
  0.479999989      0.954667211     -0.484101832      -1.10442936      -4.33733177    
  0.489999980      0.949637353     -0.522111118      -1.14807141      -4.39046860    
  0.500000000      0.944220304     -0.561525106      -1.19222617      -4.43985987    
  0.509999990      0.938402355     -0.602285564      -1.23685563      -4.48536444    
  0.519999981      0.932170331     -0.644329131      -1.28192008      -4.52684784    
  0.529999971      0.925511718     -0.687587619      -1.32737875      -4.56418371    
  0.539999962      0.918414772     -0.731988609      -1.37318957      -4.59725189    
  0.550000012      0.910868406     -0.777455866      -1.41930926      -4.62594032    
  0.560000002      0.902862370     -0.823909819      -1.46569347      -4.65014553    
  0.569999993      0.894387186     -0.871267915      -1.51229692      -4.66977167    
  0.579999983      0.885434270     -0.919445038      -1.55907333      -4.68473148    
  0.589999974      0.875995874     -0.968353987      -1.60597575      -4.69494581    
  0.599999964      0.866065085      -1.01790583      -1.65295625      -4.70034504    
  0.610000014      0.855635941      -1.06800997      -1.69996643      -4.70086718    
  0.620000005      0.844703376      -1.11857498      -1.74695718      -4.69645977    
  0.629999995      0.833263218      -1.16950834      -1.79387903      -4.68707800    
  0.639999986      0.821312308      -1.22071719      -1.84068203      -4.67268658    
  0.649999976      0.808848321      -1.27210844      -1.88731599      -4.65325880    
  0.659999967      0.795869887      -1.32358873      -1.93373036      -4.62877560    
  0.669999957      0.782376587      -1.37506497      -1.97987461      -4.59922743    
  0.680000007      0.768368900      -1.42644465      -2.02569795      -4.56461239    
  0.689999998      0.753848314      -1.47763562      -2.07114983      -4.52493715    
  0.699999988      0.738817155      -1.52854669      -2.11617970      -4.48021698    
  0.709999979      0.723278642      -1.57908750      -2.16073728      -4.43047428    
  0.719999969      0.707236946      -1.62916875      -2.20477247      -4.37574005    
  0.729999959      0.690697074      -1.67870259      -2.24823546      -4.31605291    
  0.740000010      0.673664987      -1.72760248      -2.29107714      -4.25145912    
  0.750000000      0.656147420      -1.77578342      -2.33324862      -4.18201256    
  0.759999990      0.638152003      -1.82316208      -2.37470150      -4.10777473    
  0.769999981      0.619687140      -1.86965680      -2.41538835      -4.02881384    
  0.779999971      0.600762069      -1.91518784      -2.45526218      -3.94520521    
  0.789999962      0.581386864      -1.95967746      -2.49427724      -3.85703111    
  0.799999952      0.561572254      -2.00305009      -2.53238797      -3.76438093    
  0.810000002      0.541329801      -2.04523206      -2.56955028      -3.66735005    
  0.819999993      0.520671785      -2.08615232      -2.60572076      -3.56604075    
  0.829999983      0.499611169      -2.12574172      -2.64085722      -3.46056104    
  0.839999974      0.478161603      -2.16393399      -2.67491841      -3.35102487    
  0.849999964      0.456337363      -2.20066500      -2.70786452      -3.23755240    
  0.859999955      0.434153378      -2.23587322      -2.73965669      -3.12026906    
  0.870000005      0.411625177      -2.26949978      -2.77025747      -2.99930573    
  0.879999995      0.388768852      -2.30148864      -2.79963088      -2.87479830    
  0.889999986      0.365601033      -2.33178616      -2.82774210      -2.74688792    
  0.899999976      0.342138916      -2.36034179      -2.85455775      -2.61572051    
  0.909999967      0.318400145      -2.38710785      -2.88004613      -2.48144627    
  0.919999957      0.294402868      -2.41203928      -2.90417695      -2.34421968    
  0.930000007      0.270165622      -2.43509412      -2.92692137      -2.20419955    
  0.939999998      0.245707378      -2.45623350      -2.94825220      -2.06154823    
  0.949999988      0.221047461      -2.47542119      -2.96814418      -1.91643214    
  0.959999979      0.196205571      -2.49262428      -2.98657322      -1.76902068    
